G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,G_x_Unnamed: 3,G_x_Tm,G_x_Opp,G_x_W,Unnamed: 3_x_Tm,Unnamed: 3_x_Opp,Unnamed: 3_x_W,Tm_x_Opp,Tm_x_W
54,Mon Feb 12 2024,7:30p,,Box Score,@,Atlanta Hawks,W,,136,126,26,28,W 1,16524,2:15,,,7344,6804,1404,,,,17136,3536
55,Wed Feb 14 2024,7:30p,,Box Score,@,Cleveland Cavaliers,L,,105,108,26,29,L 1,19432,2:20,,,5775,5940,1430,,,,11340,2730
56,Thu Feb 22 2024,8:00p,,Box Score,,Boston Celtics,L,,112,129,26,30,L 2,20313,2:03,,,6272,7224,1456,,,,14448,2912
57,Sun Feb 25 2024,7:00p,,Box Score,@,New Orleans Pelicans,W,,114,106,27,30,W 1,18684,2:05,,,6498,6042,1539,,,,12084,3078
58,Tue Feb 27 2024,8:00p,,Box Score,,Detroit Pistons,L,,95,105,27,31,L 1,21089,2:05,,,5510,6090,1566,,,,9975,2565
59,Wed Feb 28 2024,8:00p,,Box Score,,Cleveland Cavaliers,W,2OT,132,123,28,31,W 1,21700,2:43,,,7788,7257,1652,,,,16236,3696
60,Fri Mar 1 2024,10:00p,,Box Score,,Milwaukee Bucks,L,,97,113,28,32,L 1,21249,2:24,,,5820,6780,1680,,,,10961,2716
61,Mon Mar 4 2024,10:00p,,Box Score,@,Sacramento Kings,W,,113,109,29,32,W 1,17832,2:19,,,6893,6649,1769,,,,12317,3277
62,Wed Mar 6 2024,9:00p,,Box Score,@,Utah Jazz,W,,119,117,30,32,W 2,18206,2:13,,,7378,7254,1860,,,,13923,3570
63,Thu Mar 7 2024,10:00p,,Box Score,@,Golden State Warriors,W,,125,122,31,32,W 3,18064,2:17,,,7875,7686,1953,,,,15250,3875
64,Sat Mar 9 2024,4:00p,,Box Score,@,Los Angeles Clippers,L,,102,112,31,33,L 1,19370,2:11,,,6528,7168,1984,,,,11424,3162
65,Mon Mar 11 2024,8:00p,,Box Score,,Dallas Mavericks,L,,92,127,31,34,L 2,21363,1:58,,,5980,8255,2015,,,,11684,2852
66,Wed Mar 13 2024,7:30p,,Box Score,@,Indiana Pacers,W,OT,132,129,32,34,W 1,17274,2:44,,,8712,8514,2112,,,,17028,4224
67,Thu Mar 14 2024,8:00p,,Box Score,,Los Angeles Clippers,L,,111,126,32,35,L 1,21219,2:00,,,7437,8442,2144,,,,13986,3552
68,Sat Mar 16 2024,8:00p,,Box Score,,Washington Wizards,W,,127,98,33,35,W 1,21697,2:17,,,8636,6664,2244,,,,12446,4191
69,Mon Mar 18 2024,8:00p,,Box Score,,Portland Trail Blazers,W,,110,107,34,35,W 2,20293,2:19,,,7590,7383,2346,,,,11770,3740
70,Thu Mar 21 2024,8:00p,,Box Score,@,Houston Rockets,L,,117,127,34,36,L 1,17016,2:19,,,8190,8890,2380,,,,14859,3978
71,Sat Mar 23 2024,8:00p,,Box Score,,Boston Celtics,L,,113,124,34,37,L 2,21198,2:00,,,8023,8804,2414,,,,14012,3842
72,Mon Mar 25 2024,8:00p,,Box Score,,Washington Wizards,L,,105,107,34,38,L 3,21726,2:19,,,7560,7704,2448,,,,11235,3570
73,Wed Mar 27 2024,8:00p,,Box Score,,Indiana Pacers,W,,125,99,35,38,W 1,22018,2:12,,,9125,7227,2555,,,,12375,4375
74,Fri Mar 29 2024,7:30p,,Box Score,@,Brooklyn Nets,L,,108,125,35,39,L 1,17894,2:13,,,7992,9250,2590,,,,13500,3780
75,Sun Mar 31 2024,7:00p,,Box Score,@,Minnesota Timberwolves,W,,109,101,36,39,W 1,18024,2:07,,,8175,7575,2700,,,,11009,3924
76,Mon Apr 1 2024,8:00p,,Box Score,,Atlanta Hawks,L,,101,113,36,40,L 1,21114,2:07,,,7676,8588,2736,,,,11413,3636
77,Fri Apr 5 2024,8:00p,,Box Score,,New York Knicks,W,,108,100,37,40,W 1,21599,2:17,,,8316,7700,2849,,,,10800,3996
78,Sun Apr 7 2024,6:00p,,Box Score,@,Orlando Magic,L,,98,113,37,41,L 1,19276,2:11,,,7644,8814,2886,,,,11074,3626
79,Tue Apr 9 2024,8:00p,,Box Score,,New York Knicks,L,,117,128,37,42,L 2,21648,2:12,,,9243,10112,2923,,,,14976,4329
80,Thu Apr 11 2024,7:00p,,Box Score,@,Detroit Pistons,W,,127,105,38,42,W 1,20013,2:03,,,10160,8400,3040,,,,13335,4826
81,Fri Apr 12 2024,7:00p,,Box Score,@,Washington Wizards,W,,129,127,39,42,W 2,20333,2:20,,,10449,10287,3159,,,,16383,5031
82,Sun Apr 14 2024,1:00p,,Box Score,@,New York Knicks,L,OT,119,120,39,43,L 1,19812,2:35,,,9758,9840,3198,,,,14280,4641
83,Wed Apr 17 2024,9:30p,,Box Score,,Atlanta Hawks,W,,131,116,40,43,W 1,21627,2:16,Play-In Game,,10873,9628,3320,,,,15196,5240
84,Fri Apr 19 2024,7:00p,,Box Score,@,Miami Heat,L,,91,112,40,44,L 1,19600,2:09,Play-In Game,,7644,9408,3360,,,,10192,3640
